event_type,template,arg1,arg2,arg3,arg4,arg5
artifactexistence.artifactfailure.mechanicalfailure,<arg1> mechanical artifact failed due to  instrument at <arg3> place,evt152arg01mechanicalartifact,,,,
artifactexistence.artifactfailure.mechanicalfailure,Mechanical artifact failed due to <arg2> instrument at  place,,evt152arg02instrument,,,
artifactexistence.artifactfailure.mechanicalfailure,Mechanical artifact failed due to instrument at <arg3> place,,,evt152arg03place,,
artifactexistence.damagedestroy.unspecified,<arg1> damaged or destroyed something using instrument in place,evt001arg01damagerdestroyer,,,,
artifactexistence.damagedestroy.unspecified,Damager damaged or destroyed <arg2> using instrument in place,,evt001arg02artifact,,,
artifactexistence.damagedestroy.unspecified,Damager damaged or destroyed something using <arg3> instrument in place,,,evt001arg03instrument,,
artifactexistence.damagedestroy.unspecified,Damager damaged or destroyed something using instrument in <arg4> place,,,,evt001arg04place,
artifactexistence.damagedestroy.damage,<arg1> damaged something using instrument in place,evt002arg01damager,,,,
artifactexistence.damagedestroy.damage,Damager damaged <arg2> using instrument in place,,evt002arg02artifact,,,
artifactexistence.damagedestroy.damage,Damager damaged something using <arg3> instrument in place,,,evt002arg03instrument,,
artifactexistence.damagedestroy.damage,Damager damaged something using instrument in <arg4> place,,,,evt002arg04place,
artifactexistence.damagedestroy.destroy,<arg1> destroyed something using instrument in place,evt003arg01destroyer,,,,
artifactexistence.damagedestroy.destroy,Damager destroyed <arg2> using instrument in place,,evt003arg02artifact,,,
artifactexistence.damagedestroy.destroy,Damager destroyed something using <arg3> instrument in place,,,evt003arg03instrument,,
artifactexistence.damagedestroy.destroy,Damager destroyed something using instrument in <arg4> place,,,,evt003arg04place,
artifactexistence.shortage.shortage,<arg1> experienced a shortage of something supply at place,evt149arg01experiencer ,,,,
artifactexistence.shortage.shortage,Experiencer experienced a shortage of <arg2> supply at place,,evt149arg02supply ,,,
artifactexistence.shortage.shortage,Experiencer experienced a shortage of something supply at <arg3> place,,,evt149arg03place ,,
conflict.attack.unspecified,<arg1> attacked target using something at place,evt004arg01attacker,,,,
conflict.attack.unspecified,Attacker attacked <arg2> using something at place,,evt004arg02target,,,
conflict.attack.unspecified,Attacker attacked target using <arg3> at place,,,evt004arg03instrument,,
conflict.attack.unspecified,Attacker attacked target using something at <arg4> place,,,,evt004arg04place,
conflict.attack.airstrikemissilestrike,<arg1> attacked target using something at place,evt005arg01attacker,,,,
conflict.attack.airstrikemissilestrike,Attacker attacked <arg2> using something at place,,evt005arg02target,,,
conflict.attack.airstrikemissilestrike,Attacker attacked target using <arg3> at place,,,evt005arg03instrument,,
conflict.attack.airstrikemissilestrike,Attacker attacked target using something at <arg4> place,,,,evt005arg04place,
conflict.attack.biologicalchemicalpoisonattack,<arg1> attacked target using something at place,evt006arg01attacker,,,,
conflict.attack.biologicalchemicalpoisonattack,Attacker attacked <arg2> using something at place,,evt006arg02target,,,
conflict.attack.biologicalchemicalpoisonattack,Attacker attacked target using <arg3> at place,,,evt006arg03instrument,,
