event_type,template,arg1,arg2,arg3,arg4,arg5
artifactexistence.artifactfailure.mechanicalfailure,what is the <arg1> in <trg>,evt152arg01mechanicalartifact,,,,
artifactexistence.artifactfailure.mechanicalfailure,what is the <arg2> in <trg>,,evt152arg02instrument,,,
artifactexistence.artifactfailure.mechanicalfailure,what is the <arg3> in <trg>,,,evt152arg03place,,
artifactexistence.damagedestroy.unspecified,what is the <arg1> in <trg>,evt001arg01damagerdestroyer,,,,
artifactexistence.damagedestroy.unspecified,what is the <arg2> in <trg>,,evt001arg02artifact,,,
artifactexistence.damagedestroy.unspecified,what is the <arg3> in <trg>,,,evt001arg03instrument,,
artifactexistence.damagedestroy.unspecified,what is the <arg4> in <trg>,,,,evt001arg04place,
artifactexistence.damagedestroy.damage,what is the <arg1> in <trg>,evt002arg01damager,,,,
artifactexistence.damagedestroy.damage,what is the <arg2> in <trg>,,evt002arg02artifact,,,
artifactexistence.damagedestroy.damage,what is the <arg3> in <trg>,,,evt002arg03instrument,,
artifactexistence.damagedestroy.damage,what is the <arg4> in <trg>,,,,evt002arg04place,
artifactexistence.damagedestroy.destroy,what is the <arg1> in <trg>,evt003arg01destroyer,,,,
artifactexistence.damagedestroy.destroy,what is the <arg2> in <trg>,,evt003arg02artifact,,,
artifactexistence.damagedestroy.destroy,what is the <arg3> in <trg>,,,evt003arg03instrument,,
artifactexistence.damagedestroy.destroy,what is the <arg4> in <trg>,,,,evt003arg04place,
artifactexistence.shortage.shortage,what is the <arg1> in <trg>,evt149arg01experiencer ,,,,
artifactexistence.shortage.shortage,what is the <arg2> in <trg>,,evt149arg02supply ,,,
artifactexistence.shortage.shortage,what is the <arg3> in <trg>,,,evt149arg03place ,,
conflict.attack.unspecified,what is the <arg1> in <trg>,evt004arg01attacker,,,,
conflict.attack.unspecified,what is the <arg2> in <trg>,,evt004arg02target,,,
conflict.attack.unspecified,what is the <arg3> in <trg>,,,evt004arg03instrument,,
conflict.attack.unspecified,what is the <arg4> in <trg>,,,,evt004arg04place,
conflict.attack.airstrikemissilestrike,what is the <arg1> in <trg>,evt005arg01attacker,,,,
conflict.attack.airstrikemissilestrike,what is the <arg2> in <trg>,,evt005arg02target,,,
