event_type,template,arg1,arg2,arg3,arg4,arg5
artifactexistence.artifactfailure.mechanicalfailure,what is the <arg> in <trg>,evt152arg01mechanicalartifact ,evt152arg02instrument ,evt152arg03place ,,
artifactexistence.damagedestroy.unspecified,what is the <arg> in <trg>,evt001arg01damagerdestroyer,evt001arg02artifact,evt001arg03instrument,evt001arg04place,
artifactexistence.damagedestroy.damage,what is the <arg> in <trg>,evt002arg01damager,evt002arg02artifact,evt002arg03instrument,evt002arg04place,
artifactexistence.damagedestroy.destroy,what is the <arg> in <trg>,evt003arg01destroyer,evt003arg02artifact,evt003arg03instrument,evt003arg04place,
artifactexistence.shortage.shortage,what is the <arg> in <trg>,evt149arg01experiencer ,evt149arg02supply ,evt149arg03place ,,
conflict.attack.unspecified,what is the <arg> in <trg>,evt004arg01attacker,evt004arg02target,evt004arg03instrument,evt004arg04place,
conflict.attack.airstrikemissilestrike,what is the <arg> in <trg>,evt005arg01attacker,evt005arg02target,evt005arg03instrument,evt005arg04place,
conflict.attack.biologicalchemicalpoisonattack,what is the <arg> in <trg>,evt006arg01attacker,evt006arg02target,evt006arg03instrument,evt006arg04place,
conflict.attack.bombing,what is the <arg> in <trg>,evt007arg01attacker,evt007arg02target,evt007arg03instrument,evt007arg04place,
conflict.attack.firearmattack,what is the <arg> in <trg>,evt008arg01attacker,evt008arg02target,evt008arg03instrument,evt008arg04place,
conflict.attack.hanging,what is the <arg> in <trg>,evt009arg01attacker,evt009arg02target,evt009arg03instrument,evt009arg04place,
conflict.attack.invade,what is the <arg> in <trg>,evt010arg01attacker,evt010arg02target,evt010arg03instrument,evt010arg04place,
conflict.attack.selfdirectedbattle,what is the <arg> in <trg>,evt011arg01attacker,evt011arg02target,evt011arg03instrument,evt011arg04place,
conflict.attack.setfire,what is the <arg> in <trg>,evt012arg01attacker,evt012arg02target,evt012arg03instrument,evt012arg04place,
conflict.attack.stabbing,what is the <arg> in <trg>,evt013arg01attacker,evt013arg02target,evt013arg03instrument,evt013arg04place,
conflict.attack.stealrobhijack,what is the <arg> in <trg>,evt014arg01attacker,evt014arg02target,evt014arg03instrument,evt014arg04place,evt014arg05artifact
conflict.attack.strangling,what is the <arg> in <trg>,evt015arg01attacker,evt015arg02target,evt015arg03instrument,evt015arg04place,
conflict.coup.coup,what is the <arg> in <trg>,evt151arg01deposedentity ,evt151arg02deposingentity ,evt151arg03place ,,
conflict.demonstrate.unspecified,what is the <arg> in <trg>,evt016arg01demonstrator,evt016arg02place,,,
conflict.demonstrate.marchprotestpoliticalgathering,what is the <arg> in <trg>,evt017arg01demonstrator,evt017arg02place,,,
conflict.yield.unspecified,what is the <arg> in <trg>,evt018arg01yielder,evt018arg02recipient,evt018arg03place,,
conflict.yield.retreat,what is the <arg> in <trg>,evt019arg01retreater,evt019arg02origin,evt019arg03destination,,
conflict.yield.surrender,what is the <arg> in <trg>,evt020arg01surrenderer,evt020arg02recipient,evt020arg03place,,
contact.collaborate.unspecified,what is the <arg> in <trg>,evt021arg01participant,evt021arg02participant,evt021arg03place,,
contact.collaborate.correspondence,what is the <arg> in <trg>,evt022arg01participant,evt022arg02participant,evt022arg03place,,
contact.collaborate.meet,what is the <arg> in <trg>,evt023arg01participant,evt023arg02participant,evt023arg03place,,
contact.commandorder.unspecified,what is the <arg> in <trg>,evt024arg01communicator,evt024arg02recipient,evt024arg03place,evt024arg04topic,
contact.commandorder.broadcast,what is the <arg> in <trg>,evt025arg01communicator,evt025arg02recipient,evt025arg03place,evt025arg04topic,
contact.commandorder.correspondence,what is the <arg> in <trg>,evt026arg01communicator,evt026arg02recipient,evt026arg03place,evt026arg04topic,
contact.commandorder.meet,what is the <arg> in <trg>,evt027arg01communicator,evt027arg02recipient,evt027arg03place,evt027arg04topic,
contact.commitmentpromiseexpressintent.unspecified,what is the <arg> in <trg>,evt028arg01communicator,evt028arg02recipient,evt028arg03place,evt028arg04topic,
contact.commitmentpromiseexpressintent.broadcast,what is the <arg> in <trg>,evt029arg01communicator,evt029arg02recipient,evt029arg03place,evt029arg04topic,
contact.commitmentpromiseexpressintent.correspondence,what is the <arg> in <trg>,evt030arg01communicator,evt030arg02recipient,evt030arg03place,evt030arg04topic,
contact.commitmentpromiseexpressintent.meet,what is the <arg> in <trg>,evt031arg01communicator,evt031arg02recipient,evt031arg03place,evt031arg04topic,
contact.discussion.unspecified,what is the <arg> in <trg>,evt032arg01participant,evt032arg02participant,evt032arg03place,,
